Tool	Platform	Citations	MainCategories	SubCategories	Description	DOI	Journal	Status	Code	Added	Updated	Maintained	Methodology	Omics	Date	License	Activity	Responsiveness	DateSort	Stars	Abstract	Dependency	Baseline	Title	Methscore	Sequencingscore	Reviewscore	Preprint	Dataset	Reference	Tissue
chromVAR	R	630	other	motif analysis	A versatile R package for analyzing sparse chroma- tin-accessibility data by measuring the gain or loss of chromatin accessibility within sets of genomic features while controlling for known technical biases in epigenomic data.	10.1038/nmeth.4401	Nature Methods	Published	https://github.com/GreenleafLab/chromVAR	2022.11.08	2022.11.08	2019.08.20	not applicable	CAS	2017.10.21	None	0.7600294253298690	29.08564236111110	7	114	single-cell atac-seq (scatac) yields sparse data that make conventional analysis challenging. We developed chromVar (http://www.github.com/GreenleafLab/chromVar), an r package for analyzing sparse chromatin-accessibility data by estimating gain or loss of accessibility within peaks sharing the same motif or annotation while controlling for technical biases. chromVar enables accurate clustering of scatac-seq profiles and characterization of known and de novo sequence motifs associated with variation in chromatin accessibility. 	BiocManager	None	chromVAR: inferring transcription-factor-associated accessibility from single-cell epigenomic data	135.2322212	82.53633344	18.41907	None	7	Schep AN, Wu B, Buenrostro JD, Greenleaf WJ. chromVAR: inferring transcription-factor-associated accessibility from single-cell epigenomic data. Nature methods. 2017 Oct;14(10):975-8.	None
scABC	R	84	clustering, differential feature analysis	clustering, differential feature analysis	A method for the unsupervised clustering and identification of cluster specific peaks for single cell epigenetic data.	10.1038/s41467-018-04629-3	Nature Communications	Published	https://github.com/SUwonglab/scABC	2022.11.08	2022.11.08	2019.07.04	k-mediods	CAS	2018.06.20	None	0.2680163714614300	23.41929398148150	6	17	Characterizing epigenetic heterogeneity at the cellular level is a critical problem in the modern genomics era. Assays such as single cell ATAC-seq (scATAC-seq) offer an oppor- tunity to interrogate cellular level epigenetic heterogeneity through patterns of variability in open chromatin. However, these assays exhibit technical variability that complicates clear classification and cell type identification in heterogeneous populations. We present scABC, an R package for the unsupervised clustering of single-cell epigenetic data, to classify scATAC- seq data and discover regions of open chromatin specific to cell identity. 	devtools	simple K-mediods, K-means, SC3	Unsupervised clustering and epigenetic classification of single cells	26.00830354	17.13074075	7.912899693	None	4	Zamanighomi M, Lin Z, Daley T, Chen X, Duren Z, Schep A, Greenleaf WJ, Wong WH. Unsupervised clustering and epigenetic classification of single cells. Nature communications. 2018 Jun 20;9(1):1-8.	None
cisTopic	R	202	clustering, dimensionality reduction, regulatory network inference	dimensionality reduction, clustering, regulatory network inference (peak-peak)	An unsupervised Bayesian framework based on topic modeling to classify regions into regulatory topics and to cluster cells on the basis of their regulatory topic contributions.	10.1038/s41592-019-0367-1	Nature Methods	Published	https://github.com/aertslab/cistopic	2022.11.08	2022.11.08	2022.03.31	linear discriminant analysis	CAS	2019.04.08	None	1.200019572949330	27.44577546296300	5	116	We present cisTopic, a probabilistic framework used to simultaneously discover coaccessible enhancers and stable cell states from sparse single-cell epigenomics data (http:// github.com/aertslab/cistopic). Using a compendium of sin- gle-cell ATAC-seq datasets from differentiating hematopoi- etic cells, brain and transcription factor perturbations, we demonstrate that topic modeling can be exploited for robust identification of cell types, enhancers and relevant transcrip- tion factors. cisTopic provides insight into the mechanisms underlying regulatory heterogeneity in cell populations. 	AUCell, RcisTarget	chromVAR, Cicero, SCRAT, LSI, BROCKMAN, scABC	cisTopic: cis-regulatory topic modeling on single-cell ATAC-seq data	135.8508421	86.6715737	24.11787057	None	13	Bravo González-Blas C, Minnoye L, Papasokrati D, Aibar S, Hulselmans G, Christiaens V, Davie K, Wouters J, Aerts S. cisTopic: cis-regulatory topic modeling on single-cell ATAC-seq data. Nature methods. 2019 May;16(5):397-400.	None
Scasat	R	49	cell type annotation, clustering, differential feature analysis, dimensionality reduction, single-omics integration	dimensionality reduction, clustering, cell type annotation, single-omics integration (scATAC-seq), differential feature analysis	A bioinformatics pipeline called Scasat that can process sequencing data in a few simple steps while downstream analysis explicitly takes into consideration the binary nature of chromatin accessibility.	10.1093/nar/gky950	Nucleic Acids Research	Published	https://github.com/ManchesterBioinference/Scasat	2022.11.09	2022.11.09	2019.02.27	k-mediods	CAS	2018.10.18	None	0.2956581750480590	29.92778935185190	6	33	ATAC-seq is a recently developed method to identify the areas of open chromatin in a cell. These regions usually correspond to active regulatory elements and their location profile is unique to a given cell type. When done at single-cell resolution, ATAC-seq provides an insight into the cell-to-cell variability that emerges from otherwise identical DNA sequences by identifying the variability in the genomic location of open chromatin sites in each of the cells. This paper presents Scasat (single-cell ATAC-seq analysis tool), a complete pipeline to process scATAC-seq data with simple steps. Scasat treats the data as binary and applies statistical methods that are especially suitable for binary data. The pipeline is developed in a Jupyter notebook environment that holds the executable code along with the necessary description and results. It is robust, flexible, interactive and easy to extend. Within Scasat we developed a novel differential accessibility analysis method based on information gain to identify the peaks that are unique to a cell. The results from Scasat showed that open chromatin locations corresponding to potential regulatory elements can account for cellular heterogeneity and can identify regulatory regions that separates cells from a complex population.	bedtools, bowtie2, MACS2, picard, samtools, trimmomatic	None	Classifying cells with Scasat, a single-cell ATAC-seq analysis tool	64.03203545	34.43002446	9.283168241	None	2	Baker SM, Rogerson C, Hayes A, Sharrocks AD, Rattray M. Classifying cells with Scasat, a single-cell ATAC-seq analysis tool. Nucleic acids research. 2019 Jan 25;47(2):e10-.	None
SnapATAC	Python, R	140	clustering, differential feature analysis, dimensionality reduction, other, preprocessing	quality control, feature selection, dimensionality reduction, clustering, peak calling, differential feature analysis, motif analysis, trajectory analysis	A software package, Single Nucleus Analysis Pipeline for ATAC-seq, named SnapATAC, that does not require population-level peak annotation prior to clustering.	10.1038/s41467-021-21583-9	Nature Communications	Published	https://github.com/r3fang/SnapATAC	2022.11.09	2022.11.09	2022.03.07	not applicable	CAS	2021.02.26	GPL	1.457618278219340	29.91331018518520	3	248	Identification of the cis-regulatory elements controlling cell-type specific gene expression patterns is essential for understanding the origin of cellular diversity. Conventional assays to map regulatory elements via open chromatin analysis of primary tissues is hindered by sample heterogeneity. Single cell analysis of accessible chromatin (scATAC-seq) can over- come this limitation. However, the high-level noise of each single cell profile and the large volume of data pose unique computational challenges. Here, we introduce SnapATAC, a software package for analyzing scATAC-seq datasets. SnapATAC dissects cellular hetero- geneity in an unbiased manner and map the trajectories of cellular states. Using the Nyström method, SnapATAC can process data from up to a million cells. Furthermore, SnapATAC incorporates existing tools into a comprehensive package for analyzing single cell ATAC-seq dataset. As demonstration of its utility, SnapATAC is applied to 55,592 single-nucleus ATAC- seq profiles from the mouse secondary motor cortex. The analysis reveals ~370,000 can- didate regulatory elements in 31 distinct cell populations in this brain region and inferred candidate cell-type specific transcriptional regulators.	Matrix, methods, rhdf5	LSA, cisTopic	Comprehensive analysis of single cell ATAC-seq data with SnapATAC	283.4378589	168.7191104	34.80348914	10.1101/615179	7	Fang R, Preissl S, Li Y, Hou X, Lucero J, Wang X, Motamedi A, Shiau AK, Zhou X, Xie F, Mukamel EA. Comprehensive analysis of single cell ATAC-seq data with SnapATAC. Nature communications. 2021 Feb 26;12(1):1-5.	None
SCALE	Python	126	cell type annotation, clustering, dimensionality reduction, imputation, single-omics integration	dimensionality reduction, clustering, cell type annotation, imputation, single-omics integration (scATAC-seq)	A method that combines the VAE framework with the Gaussian Mixture Model (GMM, a probabilistic model to estimate observed data with a mixture of Gaussian distributions).	10.1038/s41467-019-12630-7	Nature Communications	Published	https://github.com/jsxlei/SCALE	2022.11.09	2022.11.09	2022.11.04	variational autoencoder	CAS	2019.10.08	MIT	0.3830327841502700	29.95296296296300	5	79	Single-cell ATAC-seq (scATAC-seq) profiles the chromatin accessibility landscape at single cell level, thus revealing cell-to-cell variability in gene regulation. However, the high dimen- sionality and sparsity of scATAC-seq data often complicate the analysis. Here, we introduce a method for analyzing scATAC-seq data, called Single-Cell ATAC-seq analysis via Latent feature Extraction (SCALE). SCALE combines a deep generative framework and a probabil- istic Gaussian Mixture Model to learn latent features that accurately characterize scATAC- seq data. We validate SCALE on datasets generated on different platforms with different protocols, and having different overall data qualities. SCALE substantially outperforms the other tools in all aspects of scATAC-seq data analysis, including visualization, clustering, and denoising and imputation. Importantly, SCALE also generates interpretable features that directly link to cell populations, and can potentially reveal batch effects in scATAC-seq experiments. 	torch	PCA, scVI, cisTopic, scABC, SC3, MAGIC, SAVER, scImpute	SCALE method for single-cell ATAC-seq analysis via latent feature extraction	116.6951288	66.78495543	20.88340041	None	6	Xiong L, Xu K, Tian K, Shao Y, Tang L, Gao G, Zhang M, Jiang T, Zhang QC. SCALE method for single-cell ATAC-seq analysis via latent feature extraction. Nature communications. 2019 Oct 8;10(1):1-0.	None
Destin	R	19	clustering, dimensionality reduction, preprocessing	reads alignment, peak calling, quality control, dimensionality reduction, clustering	A bioinformatic and statistical framework for comprehensive scATAC-seq data analysis.	10.1093/bioinformatics/btz141	Bioinformatics	Published	https://github.com/urrutiag/destin	2022.11.09	2022.11.09	2020.02.27	principal component analysis	CAS	2019.03.01	None	0.3728023291838860	29.74519675925930	5	11	Single-cell assay of transposase-accessible chromatin followed by sequencing (scATAC-seq) is an emerging new technology for the study of gene regulation with single-cell resolution. The data from scATAC-seq are unique—sparse, binary and highly variable even within the same cell type. As such, neither methods developed for bulk ATAC-seq nor single-cell RNA-seq data are appropriate. Here, we present Destin, a bioinformatic and statistical framework for comprehensive scATAC-seq data analysis. Destin performs cell-type clustering via weighted principle component analysis, weighting accessible chromatin regions by existing genomic annotations and publicly available regulomic datasets. The weights and additional tuning parameters are determined via model-based likelihood. We evaluated the performance of Destin using downsampled bulk ATAC-seq data of purified samples and scATAC-seq data from seven diverse experiments. Compared to existing methods, Destin was shown to outperform across all datasets and platforms. For demonstration, we further applied Destin to 2088 adult mouse forebrain cells and identified cell-type-specific association of previously reported schizophrenia GWAS loci.	BOWTIE2, ChIPpeakAnno, GenomicAlignments, MACS2, Matrix, R, Rtsne, SRAtoolkit, awk, bedtools, cluster, cutadapt, data.table, ggplot2, gridExtra, irlba, parallel, picard, python, rtracklayer, samtools	scABC, scAsAT, chromVAR	Destin: toolkit for single-cell analysis of chromatin accessibility	39.75885406	20.73189987	8.845650333	None	3	Urrutia E, Chen L, Zhou H, Jiang Y. Destin: toolkit for single-cell analysis of chromatin accessibility. Bioinformatics. 2019 Oct 1;35(19):3818-20.	None
SCATE	R	22	clustering, imputation, regulatory network inference	clustering, regulatory network inference (peak-peak), imputation	A model-based approach to integrate three types of information: (1) co-activated CREs, (2) similar cells, and (3) publicly available bulk regulome data.	10.1186/s13059-020-02075-3	Genome Biology	Published	https://github.com/zji90/SCATE	2022.11.09	2022.11.09	2020.10.16	probabilistic generative model	CAS	2020.07.03	MIT	0.3160503220593060	28.96835648148150	4	6	Single-cell sequencing assay for transposase-accessible chromatin (scATAC-seq) is the state-of-the-art technology for analyzing genome-wide regulatory landscapes in single cells. Single-cell ATAC-seq data are sparse and noisy, and analyzing such data is challenging. Existing computational methods cannot accurately reconstruct activities of individual cis-regulatory elements (CREs) in individual cells or rare cell subpopulations. We present a new statistical framework, SCATE, that adaptively integrates information from co-activated CREs, similar cells, and publicly available regulome data to substantially increase the accuracy for estimating activities of individual CREs. We demonstrate that SCATE can be used to better reconstruct the regulatory landscape of a heterogeneous sample.	BiocManager, GenomicAlignments, devtools, preprocessCore	SCRAT, MACS	Single-cell ATAC-seq signal extraction and enhancement with SCATE	25.38068442	14.14027756	7.112643006	None	3	Ji Z, Zhou W, Hou W, Ji H. Single-cell ATAC-seq signal extraction and enhancement with SCATE. Genome biology. 2020 Dec;21(1):1-36.	None
OpenAnnotate	C++, Shell	8	other	chromatin accessibility annotation	The first web server for efficiently annotating openness of massive genomic regions across various biosample types, tissues, and biological systems.	10.1093/nar/gkab337	Nucleic Acids Research	Published	https://github.com/RJiangLab/OpenAnnotate	2022.11.09	2022.11.09	2021.04.12	not applicable	CAS	2021.05.17	MIT	0		3	2	Chromatin accessibility, as a powerful marker of active DNA regulatory elements, provides valuable information for understanding regulatory mechanisms. The revolution in high-throughput methods has accumulated massive chromatin accessibility profiles in public repositories. Nevertheless, utilization of these data is hampered by cumbersome collection, time-consuming processing, and manual chromatin accessibility (openness) annotation of genomic regions. To fill this gap, we developed OpenAnnotate (http://health.tsinghua.edu.cn/openannotate/) as the first web server for efficiently annotating openness of massive genomic regions across various biosample types, tissues, and biological systems. In addition to the annotation resource from 2729 comprehensive profiles of 614 biosample types of human and mouse, OpenAnnotate provides user-friendly functionalities, ultra-efficient calculation, real-time browsing, intuitive visualization, and elaborate application notebooks. We show its unique advantages compared to existing databases and toolkits by effectively revealing cell type-specificity, identifying regulatory elements and 3D chromatin contacts, deciphering gene functional relationships, inferring functions of transcription factors, and unprecedentedly promoting single-cell data analyses. We anticipate OpenAnnotate will provide a promising avenue for researchers to construct a more holistic perspective to understand regulatory mechanisms.	Not Applicable	None	OpenAnnotate: a web server to annotate the chromatin accessibility of genomic regions	5.288683412	4.744081434	3.742884215	None	2	Chen S, Liu Q, Cui X, Feng Z, Li C, Wang X, Zhang X, Wang Y, Jiang R. OpenAnnotate: a web server to annotate the chromatin accessibility of genomic regions. Nucleic acids research. 2021 Jul 2;49(W1):W483-90.	None
scDEC	Python	35	clustering, dimensionality reduction, other	dimensionality reduction, clustering, motif analysis	A new approach for analysing scATAC-seq data by simultaneously learning the deep embedding and clustering of the cells in an unsupervised manner. Our method, named scDEC, is based on learning a pair of generative adversarial networks.	10.1038/s42256-021-00333-y	Nature Machine Intelligence	Published	https://github.com/kimmo1019/scDEC	2022.11.10	2022.11.10	2022.07.24	generative adversarial network	CAS	2021.05.10	MIT	0.1496807090426850	27.96908564814820	3	25	Recent advances in single-cell technologies, including single-cell ATAC-seq (scATAC-seq), have enabled large-scale profiling of the chromatin accessibility landscape at the single-cell level. However, the characteristics of scATAC-seq data, including high sparsity and high dimensionality, have greatly complicated the computational analysis. Here, we propose scDEC, a computa- tional tool for scATAC-seq analysis with deep generative neural networks. scDEC is built on a pair of generative adversarial net- works, and is capable of simultaneously learning the latent representation and inferring cell labels. In a series of experiments, scDEC demonstrates superior performance over other tools in scATAC-seq analysis across multiple datasets and experimental settings. In downstream applications, we demonstrate that the generative power of scDEC helps to infer the trajectory and intermediate state of cells during differentiation and the latent features learned by scDEC can potentially reveal both biologi- cal cell types and within-cell-type variations. We also show that it is possible to extend scDEC for the integrative analysis of multi-modal single cell data. 	tensorflow	cisTopic, Cusanovich2018, Scasat, snapATAC, scDEC	Simultaneous deep generative modelling and clustering of single-cell genomic data	42.41810782	26.52295241	11.93559057	None	6	Liu Q, Chen S, Jiang R, Wong WH. Simultaneous deep generative modelling and clustering of single-cell genomic data. Nature machine intelligence. 2021 Jun;3(6):536-44.	None
EpiAnno	Python	10	cell type annotation, dimensionality reduction, simulation	cell type annotation, dimensionality reduction, simulation	A probabilistic generative model, to better characterize cell heterogeneity and accurately annotate the cell type in scCAS data. 	10.1038/s42256-021-00432-w	Nature Machine Intelligence	Published	https://github.com/xy-chen16/EpiAnno	2022.11.10	2022.11.10	2022.04.14	bayesian neural network	CAS	2022.02.10	AGPL	0.3223232053653290	29.6925	2	15	Recent advances in single-cell technologies have enabled the characterization of epigenomic heterogeneity at the cellular level. Computational methods for automatic cell type annotation are urgently needed given the exponential growth in the number of cells. In particular, annotation of single-cell chromatin accessibility sequencing (scCAS) data, which can capture the chromatin regulatory landscape that governs transcription in each cell type, has not been fully investigated. Here we propose EpiAnno, a probabilistic generative model integrated with a Bayesian neural network, to annotate scCAS data automatically in a super- vised manner. We systematically validate the superior performance of EpiAnno for both intra- and inter-dataset annotation on various datasets. We further demonstrate the advantages of EpiAnno for interpretable embedding and biological implications via expression enrichment analysis, partitioned heritability analysis, enhancer identification, cis-coaccessibility analysis and pathway enrichment analysis. In addition, we show that EpiAnno has the potential to reveal cell type-specific motifs and facili- tate scCAS data simulation. 	torch, tensorflow	GNB, RF, SVM, jNN, ACTINN, SuperCT, MLP	Cell type annotation of single-cell chromatin accessibility data via supervised Bayesian embedding	48.82314989	30.92074024	15.98970404	None	12	Chen X, Chen S, Song S, Gao Z, Hou L, Zhang X, Lv H, Jiang R. Cell type annotation of single-cell chromatin accessibility data via supervised Bayesian embedding. Nature Machine Intelligence. 2022 Feb;4(2):116-26.	None
simATAC	R	4	simulation	simulation	A scATAC-seq simulation framework that generates simulated samples resembling real scATAC-seq data.	10.1186/s13059-021-02270-w	Genome Biology	Published	https://github.com/bowang-lab/simATAC	2022.11.10	2022.11.10	2021.01.24	gaussian mixture model	CAS	2021.03.04	GPL	0.1455186895127780	5.323668981481480	2	4	Single-cell assay for transposase-accessible chromatin sequencing (scATAC-seq) identifies regulated chromatin accessibility modules at the single-cell resolution. Robust evaluation is critical to the development of scATAC-seq pipelines, which calls for reproducible datasets for benchmarking. We hereby present the simATAC framework, an R package that generates scATAC-seq count matrices that highly resemble real scATAC-seq datasets in library size, sparsity, and chromatin accessibility signals. simATAC deploys statistical models derived from analyzing 90 real scATAC-seq cell groups. simATAC provides a robust and systematic approach to generate in silico scATAC-seq samples with known cell labels for assessing analytical pipelines.	devtools	None	simATAC: a single-cell ATAC-seq simulation framework	8.914773386	7.194092608	4.322652684	None	3	Navidi Z, Zhang L, Wang B. simATAC: a single-cell ATAC-seq simulation framework. Genome biology. 2021 Dec;22(1):1-6.	None
Cicero	R	380	regulatory network inference	regulatory network inference (peak-peak)	An algorithm that generates such linkages on a genome-wide basis based on patterns of co-accessibility in single-cell data.	10.1016/j.molcel.2018.06.044	Molecular Cell	Published	https://cole-trapnell-lab.github.io/cicero-release/	2022.11.10	2022.11.10	2022.10.23	unsupervised learning	CAS	2018.09.06	MIT	1.241		6	37	Linking regulatory DNA elements to their target genes, which may be located hundreds of kilobases away, remains challenging. Here, we introduce Cicero, an algorithm that identifies co-accessible pairs of DNA elements using single-cell chromatin accessibility data and so connects regulatory elements to their putative target genes. We apply Cicero to investigate how dynamically accessible elements orchestrate gene regulation in differentiating myoblasts. Groups of Cicero-linked regulatory elements meet criteria of ‘‘chromatin hubs’’—they are enriched for physical proximity, interact with a common set of transcription factors, and undergo coordinated changes in histone marks that are predictive of changes in gene expression. Pseudotemporal analysis revealed that most DNA elements remain in chromatin hubs throughout differentiation. A subset of elements bound by MYOD1 in myoblasts exhibit early opening in a PBX1- and MEIS1-dependent manner. Our strategy can be applied to dissect the architecture, sequence determinants, and mechanisms of cis-regulation on a genome-wide scale.	BiocManager, GenomicRanges, Gviz, devtools, rtracklayer	Monocle	Cicero Predicts cis-Regulatory DNA Interactions from Single-Cell Chromatin Accessibility Data	44.40266309	30.71353904	10.07088529	None	7	Pliner HA, Packer JS, McFaline-Figueroa JL, Cusanovich DA, Daza RM, Aghamirzaie D, Srivatsan S, Qiu X, Jackson D, Minkina A, Adey AC. Cicero predicts cis-regulatory DNA interactions from single-cell chromatin accessibility data. Molecular cell. 2018 Sep 6;71(5):858-71.	None
Signac	R	137	clustering, differential feature analysis, dimensionality reduction, other, preprocessing, regulatory network inference, multi-omics integration	quality control, feature selection, dimensionality reduction, clustering, multi-omics integration (scRNA-seq, scATAC-seq), peak calling, differential feature analysis, motif analysis, regulatory network inference (gene-peak)	A framework for the analysis of single-cell chromatin data.	10.1038/s41592-021-01282-5	Nature Methods	Published	https://github.com/stuart-lab/signac	2022.11.10	2022.11.10	2022.09.22	not applicable	CAS	2021.11.01	MIT	2.372932525505900	29.73477430555560	3	202	The recent development of experimental methods for measuring chromatin state at single-cell resolution has created a need for computational tools capable of analyzing these datasets. Here we developed Signac, a comprehensive toolkit for the analy- sis of single-cell chromatin data. Signac enables an end-to-end analysis of single-cell chromatin data, including peak calling, quantification, quality control, dimension reduction, clustering, integration with single-cell gene expression datasets, DNA motif analysis and interactive visualization. Through its seamless compatibility with the Seurat package, Signac facilitates the analysis of diverse multimodal single-cell chromatin data, including datasets that co-assay DNA accessibility with gene expres- sion, protein abundance and mitochondrial genotype. We demonstrate scaling of the Signac framework to analyze datasets containing over 700,000 cells.	remotes	Cusanovich2018, snapATAC, cisTopic, SCALE	Single-cell chromatin state analysis with Signac	235.3026868	139.7535853	31.03050984	None	6	Stuart T, Srivastava A, Madad S, Lareau CA, Satija R. Single-cell chromatin state analysis with Signac. Nature methods. 2021 Nov;18(11):1333-41.	None
